AeroDyn airfoil file Created with QBlade v0.963 64bit on 04.04.2021 at 22:21:37 Compatible with AeroDyn v13.0.
Polar "T1_Re0.082_M0.00_N9.0 360 M" on Foil "T1_Re0.082_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
14.50          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-4.00          Angle of attack for zero Cn for linear Cn curve (deg)
7.79378        Cn slope for zero lift for linear Cn curve (1/rad)
-0.4109        Cn at stall value for positive angle of attack for linear Cn curve
-0.4768        Cn at stall value for negative angle of attack for linear Cn curve
-2.50          Angle of attack for minimum CD (deg)
0.0325         Minimum CD value
   -180.00   -0.1186    0.0060
   -179.00    0.0036    0.0065
   -178.00    0.1232    0.0081
   -177.00    0.2298    0.0106
   -176.00    0.3056    0.0142
   -175.00    0.3387    0.0189
   -174.00    0.3366    0.0245
   -173.00    0.3187    0.0311
   -172.00    0.3006    0.0387
   -171.00    0.2889    0.0473
   -170.00    0.2846    0.0568
   -169.00    0.2865    0.0673
   -168.00    0.2929    0.0787
   -167.00    0.3024    0.0910
   -166.00    0.3140    0.1043
   -165.00    0.3267    0.1184
   -164.00    0.3400    0.1334
   -163.00    0.3535    0.1492
   -162.00    0.3668    0.1658
   -161.00    0.3798    0.1832
   -160.00    0.3923    0.2014
   -159.00    0.4041    0.2204
   -158.00    0.4152    0.2400
   -157.00    0.4254    0.2604
   -156.00    0.4348    0.2814
   -155.00    0.4434    0.3031
   -154.00    0.4510    0.3254
   -153.00    0.4577    0.3483
   -152.00    0.4635    0.3717
   -151.00    0.4683    0.3957
   -150.00    0.4723    0.4202
   -149.00    0.4753    0.4451
   -148.00    0.4775    0.4705
   -147.00    0.4788    0.4963
   -146.00    0.4792    0.5224
   -145.00    0.4788    0.5489
   -144.00    0.4776    0.5758
   -143.00    0.4756    0.6028
   -142.00    0.4729    0.6302
   -141.00    0.4695    0.6577
   -140.00    0.4653    0.6854
   -139.00    0.4605    0.7132
   -138.00    0.4551    0.7412
   -137.00    0.4491    0.7692
   -136.00    0.4425    0.7973
   -135.00    0.4354    0.8254
   -134.00    0.4278    0.8534
   -133.00    0.4197    0.8814
   -132.00    0.4112    0.9093
   -131.00    0.4023    0.9370
   -130.00    0.3930    0.9646
   -129.00    0.3834    0.9920
   -128.00    0.3735    1.0192
   -127.00    0.3632    1.0461
   -126.00    0.3528    1.0728
   -125.00    0.3421    1.0991
   -124.00    0.3312    1.1250
   -123.00    0.3202    1.1506
   -122.00    0.3089    1.1757
   -121.00    0.2976    1.2005
   -120.00    0.2862    1.2247
   -119.00    0.2747    1.2484
   -118.00    0.2631    1.2716
   -117.00    0.2515    1.2943
   -116.00    0.2399    1.3164
   -115.00    0.2282    1.3378
   -114.00    0.2166    1.3587
   -113.00    0.2050    1.3788
   -112.00    0.1934    1.3983
   -111.00    0.1819    1.4171
   -110.00    0.1698    1.4352
   -109.00    0.1584    1.4525
   -108.00    0.1471    1.4691
   -107.00    0.1358    1.4848
   -106.00    0.1246    1.4998
   -105.00    0.1135    1.5140
   -104.00    0.1025    1.5273
   -103.00    0.0915    1.5398
   -102.00    0.0807    1.5514
   -101.00    0.0699    1.5621
   -100.00    0.0592    1.5719
    -99.00    0.0487    1.5808
    -98.00    0.0382    1.5889
    -97.00    0.0277    1.5960
    -96.00    0.0174    1.6021
    -95.00    0.0071    1.6074
    -94.00   -0.0031    1.6116
    -93.00   -0.0133    1.6150
    -92.00   -0.0233    1.6174
    -91.00   -0.0334    1.6188
    -90.00   -0.0433    1.6193
    -89.00   -0.0533    1.6188
    -88.00   -0.0632    1.6174
    -87.00   -0.0730    1.6150
    -86.00   -0.0828    1.6116
    -85.00   -0.0926    1.6073
    -84.00   -0.1024    1.6021
    -83.00   -0.1121    1.5959
    -82.00   -0.1218    1.5888
    -81.00   -0.1316    1.5808
    -80.00   -0.1412    1.5719
    -79.00   -0.1509    1.5621
    -78.00   -0.1606    1.5513
    -77.00   -0.1702    1.5397
    -76.00   -0.1799    1.5273
    -75.00   -0.1895    1.5139
    -74.00   -0.1991    1.4998
    -73.00   -0.2087    1.4848
    -72.00   -0.2182    1.4690
    -71.00   -0.2278    1.4525
