AeroDyn airfoil file Created with QBlade v0.963 64bit on 04.04.2021 at 22:21:37 Compatible with AeroDyn v13.0.
Polar "T1_Re0.082_M0.00_N9.0 360 M" on Foil "T1_Re0.082_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
10.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-0.11          Angle of attack for zero Cn for linear Cn curve (deg)
7.68375        Cn slope for zero lift for linear Cn curve (1/rad)
-0.7286        Cn at stall value for positive angle of attack for linear Cn curve
-0.7009        Cn at stall value for negative angle of attack for linear Cn curve
-1.50          Angle of attack for minimum CD (deg)
0.0141         Minimum CD value
   -180.00   -0.0021    0.0060
   -179.00    0.1179    0.0065
   -178.00    0.2378    0.0081
   -177.00    0.3552    0.0107
   -176.00    0.4600    0.0144
   -175.00    0.5332    0.0192
   -174.00    0.5606    0.0249
   -173.00    0.5487    0.0317
   -172.00    0.5197    0.0395
   -171.00    0.4924    0.0484
   -170.00    0.4750    0.0582
   -169.00    0.4682    0.0690
   -168.00    0.4702    0.0808
   -167.00    0.4786    0.0935
   -166.00    0.4916    0.1072
   -165.00    0.5077    0.1218
   -164.00    0.5257    0.1373
   -163.00    0.5450    0.1537
   -162.00    0.5650    0.1709
   -161.00    0.5853    0.1890
   -160.00    0.6056    0.2079
   -159.00    0.6257    0.2276
   -158.00    0.6455    0.2481
   -157.00    0.6646    0.2693
   -156.00    0.6832    0.2913
   -155.00    0.7010    0.3139
   -154.00    0.7181    0.3372
   -153.00    0.7342    0.3612
   -152.00    0.7495    0.3857
   -151.00    0.7638    0.4108
   -150.00    0.7772    0.4365
   -149.00    0.7895    0.4627
   -148.00    0.8008    0.4893
   -147.00    0.8110    0.5165
   -146.00    0.8201    0.5440
   -145.00    0.8282    0.5719
   -144.00    0.8351    0.6002
   -143.00    0.8409    0.6287
   -142.00    0.8455    0.6576
   -141.00    0.8490    0.6867
   -140.00    0.8514    0.7160
   -139.00    0.8526    0.7454
   -138.00    0.8527    0.7751
   -137.00    0.8516    0.8048
   -136.00    0.8494    0.8345
   -135.00    0.8460    0.8643
   -134.00    0.8415    0.8941
   -133.00    0.8359    0.9239
   -132.00    0.8292    0.9535
   -131.00    0.8214    0.9831
   -130.00    0.8125    1.0125
   -129.00    0.8025    1.0417
   -128.00    0.7915    1.0707
   -127.00    0.7794    1.0994
   -126.00    0.7664    1.1279
   -125.00    0.7523    1.1560
   -124.00    0.7373    1.1837
   -123.00    0.7213    1.2111
   -122.00    0.7044    1.2380
   -121.00    0.6866    1.2645
   -120.00    0.6679    1.2904
   -119.00    0.6484    1.3159
   -118.00    0.6281    1.3408
   -117.00    0.6070    1.3651
   -116.00    0.5851    1.3888
   -115.00    0.5625    1.4119
   -114.00    0.5393    1.4342
   -113.00    0.5153    1.4559
   -112.00    0.4908    1.4769
   -111.00    0.4657    1.4971
   -110.00    0.4400    1.5166
   -109.00    0.4137    1.5352
   -108.00    0.3865    1.5531
   -107.00    0.3594    1.5701
   -106.00    0.3318    1.5862
   -105.00    0.3039    1.6015
   -104.00    0.2757    1.6158
   -103.00    0.2471    1.6293
   -102.00    0.2183    1.6418
   -101.00    0.1892    1.6534
   -100.00    0.1600    1.6640
    -99.00    0.1306    1.6736
    -98.00    0.1010    1.6823
    -97.00    0.0714    1.6899
    -96.00    0.0418    1.6966
    -95.00    0.0121    1.7023
    -94.00   -0.0175    1.7069
    -93.00   -0.0471    1.7105
    -92.00   -0.0765    1.7131
    -91.00   -0.1059    1.7146
    -90.00   -0.1350    1.7151
    -89.00   -0.1640    1.7146
    -88.00   -0.1927    1.7131
    -87.00   -0.2211    1.7105
    -86.00   -0.2493    1.7069
    -85.00   -0.2771    1.7022
    -84.00   -0.3045    1.6966
    -83.00   -0.3315    1.6899
    -82.00   -0.3582    1.6823
    -81.00   -0.3843    1.6736
    -80.00   -0.4100    1.6640
    -79.00   -0.4351    1.6534
    -78.00   -0.4598    1.6418
    -77.00   -0.4838    1.6293
    -76.00   -0.5073    1.6158
    -75.00   -0.5301    1.6014
    -74.00   -0.5523    1.5862
    -73.00   -0.5738    1.5700
    -72.00   -0.5947    1.5530
    -71.00   -0.6148    1.5352
    -70.00   -0.6343    1.5165
    -69.00   -0.6529    1.4971
    -68.00   -0.6708    1.4769
    -67.00   -0.6880    1.4559
    -66.00   -0.7043    1.4342
    -65.00   -0.7198    1.4118
    -64.00   -0.7345    1.3887
    -63.00   -0.7484    1.3650
    -62.00   -0.7614    1.3407
    -61.00   -0.7735    1.3158
    -60.00   -0.7848    1.2904
    -59.00   -0.7952    1.2644
    -58.00   -0.8047    1.2379
    -57.00   -0.8133    1.2110
    -56.00   -0.8210    1.1836
