AeroDyn airfoil file Created with QBlade v0.963 64bit on 04.04.2021 at 22:21:37 Compatible with AeroDyn v13.0.
Polar "T1_Re0.082_M0.00_N9.0 360 M" on Foil "T1_Re0.082_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
11.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-0.77          Angle of attack for zero Cn for linear Cn curve (deg)
8.21451        Cn slope for zero lift for linear Cn curve (1/rad)
-0.7092        Cn at stall value for positive angle of attack for linear Cn curve
-0.6505        Cn at stall value for negative angle of attack for linear Cn curve
-1.00          Angle of attack for minimum CD (deg)
0.0154         Minimum CD value
   -180.00   -0.0222    0.0060
   -179.00    0.0970    0.0065
   -178.00    0.2160    0.0081
   -177.00    0.3310    0.0107
   -176.00    0.4302    0.0144
   -175.00    0.4946    0.0191
   -174.00    0.5138    0.0249
   -173.00    0.4987    0.0317
   -172.00    0.4712    0.0395
   -171.00    0.4472    0.0483
   -170.00    0.4327    0.0581
   -169.00    0.4277    0.0689
   -168.00    0.4303    0.0806
   -167.00    0.4385    0.0933
   -166.00    0.4505    0.1069
   -165.00    0.4650    0.1215
   -164.00    0.4811    0.1369
   -163.00    0.4982    0.1532
   -162.00    0.5158    0.1704
   -161.00    0.5335    0.1885
   -160.00    0.5510    0.2073
   -159.00    0.5682    0.2269
   -158.00    0.5849    0.2473
   -157.00    0.6011    0.2684
   -156.00    0.6165    0.2903
   -155.00    0.6312    0.3128
   -154.00    0.6450    0.3360
   -153.00    0.6580    0.3598
   -152.00    0.6701    0.3843
   -151.00    0.6813    0.4092
   -150.00    0.6915    0.4348
   -149.00    0.7007    0.4608
   -148.00    0.7090    0.4873
   -147.00    0.7162    0.5143
   -146.00    0.7225    0.5416
   -145.00    0.7277    0.5694
   -144.00    0.7320    0.5974
   -143.00    0.7352    0.6258
   -142.00    0.7374    0.6545
   -141.00    0.7386    0.6834
   -140.00    0.7389    0.7125
   -139.00    0.7381    0.7418
   -138.00    0.7363    0.7712
   -137.00    0.7336    0.8006
   -136.00    0.7300    0.8302
   -135.00    0.7253    0.8598
   -134.00    0.7198    0.8893
   -133.00    0.7133    0.9189
   -132.00    0.7060    0.9483
   -131.00    0.6977    0.9776
   -130.00    0.6886    1.0068
   -129.00    0.6787    1.0358
   -128.00    0.6679    1.0645
   -127.00    0.6563    1.0930
   -126.00    0.6440    1.1212
   -125.00    0.6309    1.1491
   -124.00    0.6170    1.1766
   -123.00    0.6025    1.2037
   -122.00    0.5873    1.2304
   -121.00    0.5714    1.2566
   -120.00    0.5548    1.2823
   -119.00    0.5377    1.3076
   -118.00    0.5200    1.3322
   -117.00    0.5017    1.3563
   -116.00    0.4829    1.3798
   -115.00    0.4635    1.4026
   -114.00    0.4437    1.4248
   -113.00    0.4235    1.4463
   -112.00    0.4028    1.4671
   -111.00    0.3817    1.4871
   -110.00    0.3602    1.5064
   -109.00    0.3379    1.5248
   -108.00    0.3158    1.5425
   -107.00    0.2934    1.5593
   -106.00    0.2707    1.5753
   -105.00    0.2478    1.5904
   -104.00    0.2246    1.6046
   -103.00    0.2013    1.6179
   -102.00    0.1778    1.6303
   -101.00    0.1542    1.6418
   -100.00    0.1305    1.6523
    -99.00    0.1066    1.6618
    -98.00    0.0828    1.6704
    -97.00    0.0589    1.6780
    -96.00    0.0349    1.6846
    -95.00    0.0110    1.6902
    -94.00   -0.0128    1.6948
    -93.00   -0.0366    1.6983
    -92.00   -0.0603    1.7009
    -91.00   -0.0839    1.7024
    -90.00   -0.1074    1.7029
    -89.00   -0.1307    1.7024
