AeroDyn airfoil file Created with QBlade v0.963 64bit on 04.04.2021 at 22:21:37 Compatible with AeroDyn v13.0.
Polar "T1_Re0.082_M0.00_N9.0 360 M" on Foil "T1_Re0.082_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
12.50          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-1.88          Angle of attack for zero Cn for linear Cn curve (deg)
10.49067       Cn slope for zero lift for linear Cn curve (1/rad)
-0.5239        Cn at stall value for positive angle of attack for linear Cn curve
-0.5525        Cn at stall value for negative angle of attack for linear Cn curve
7.50           Angle of attack for minimum CD (deg)
0.0243         Minimum CD value
   -180.00   -0.0541    0.0060
   -179.00    0.0963    0.0065
   -178.00    0.2459    0.0081
   -177.00    0.3862    0.0107
   -176.00    0.4939    0.0144
   -175.00    0.5414    0.0191
   -174.00    0.5279    0.0248
   -173.00    0.4833    0.0315
   -172.00    0.4373    0.0392
   -171.00    0.4034    0.0480
   -170.00    0.3832    0.0577
   -169.00    0.3743    0.0683
   -168.00    0.3733    0.0799
   -167.00    0.3778    0.0925
   -166.00    0.3858    0.1059
   -165.00    0.3961    0.1203
   -164.00    0.4076    0.1355
   -163.00    0.4199    0.1516
   -162.00    0.4323    0.1685
   -161.00    0.4446    0.1863
   -160.00    0.4566    0.2048
   -159.00    0.4681    0.2241
   -158.00    0.4789    0.2441
   -157.00    0.4890    0.2649
   -156.00    0.4983    0.2863
   -155.00    0.5068    0.3084
   -154.00    0.5145    0.3311
   -153.00    0.5212    0.3544
   -152.00    0.5271    0.3783
   -151.00    0.5321    0.4027
   -150.00    0.5361    0.4277
   -149.00    0.5393    0.4531
   -148.00    0.5416    0.4790
   -147.00    0.5430    0.5053
   -146.00    0.5436    0.5320
   -145.00    0.5433    0.5590
   -144.00    0.5423    0.5863
   -143.00    0.5404    0.6139
   -142.00    0.5378    0.6418
   -141.00    0.5344    0.6699
   -140.00    0.5303    0.6982
   -139.00    0.5255    0.7266
