AeroDyn airfoil file Created with QBlade v0.963 64bit on 04.04.2021 at 22:21:37 Compatible with AeroDyn v13.0.
Polar "T1_Re0.082_M0.00_N9.0 360 M" on Foil "T1_Re0.082_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
10.50          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-2.55          Angle of attack for zero Cn for linear Cn curve (deg)
8.86492        Cn slope for zero lift for linear Cn curve (1/rad)
-0.5836        Cn at stall value for positive angle of attack for linear Cn curve
-0.6111        Cn at stall value for negative angle of attack for linear Cn curve
0.50           Angle of attack for minimum CD (deg)
0.0190         Minimum CD value
   -180.00   -0.0725    0.0060
   -179.00    0.0443    0.0065
   -178.00    0.1599    0.0081
   -177.00    0.2677    0.0107
   -176.00    0.3528    0.0144
   -175.00    0.3992    0.0191
   -174.00    0.4063    0.0249
   -173.00    0.3903    0.0316
   -172.00    0.3695    0.0394
   -171.00    0.3538    0.0481
   -170.00    0.3458    0.0579
   -169.00    0.3449    0.0686
   -168.00    0.3495    0.0803
   -167.00    0.3578    0.0929
   -166.00    0.3686    0.1065
   -165.00    0.3810    0.1210
   -164.00    0.3943    0.1363
   -163.00    0.4080    0.1525
   -162.00    0.4217    0.1696
   -161.00    0.4352    0.1875
   -160.00    0.4482    0.2062
   -159.00    0.4606    0.2257
   -158.00    0.4723    0.2459
   -157.00    0.4833    0.2668
   -156.00    0.4935    0.2885
   -155.00    0.5028    0.3108
   -154.00    0.5112    0.3338
   -153.00    0.5187    0.3573
   -152.00    0.5253    0.3815
   -151.00    0.5310    0.4062
   -150.00    0.5358    0.4315
   -149.00    0.5396    0.4572
   -148.00    0.5426    0.4834
   -147.00    0.5446    0.5101
   -146.00    0.5458    0.5371
   -145.00    0.5461    0.5645
   -144.00    0.5456    0.5922
   -143.00    0.5442    0.6202
   -142.00    0.5421    0.6485
   -141.00    0.5392    0.6770
   -140.00    0.5355    0.7057
   -139.00    0.5311    0.7346
   -138.00    0.5261    0.7636
   -137.00    0.5203    0.7926
   -136.00    0.5140    0.8217
   -135.00    0.5070    0.8509
   -134.00    0.4994    0.8800
   -133.00    0.4913    0.9090
   -132.00    0.4827    0.9380
   -131.00    0.4736    0.9668
   -130.00    0.4640    0.9955
   -129.00    0.4539    1.0240
   -128.00    0.4435    1.0523
   -127.00    0.4327    1.0803
   -126.00    0.4215    1.1080
   -125.00    0.4100    1.1354
