AeroDyn airfoil file Created with QBlade v0.963 64bit on 04.04.2021 at 22:21:37 Compatible with AeroDyn v13.0.
Polar "T1_Re0.082_M0.00_N9.0 360 M" on Foil "T1_Re0.082_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
9.00           Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-1.51          Angle of attack for zero Cn for linear Cn curve (deg)
6.51457        Cn slope for zero lift for linear Cn curve (1/rad)
-0.6393        Cn at stall value for positive angle of attack for linear Cn curve
-0.6325        Cn at stall value for negative angle of attack for linear Cn curve
4.00           Angle of attack for minimum CD (deg)
0.0199         Minimum CD value
   -180.00   -0.0464    0.0060
   -179.00    0.0752    0.0065
   -178.00    0.1963    0.0081
   -177.00    0.3122    0.0108
   -176.00    0.4087    0.0146
   -175.00    0.4668    0.0193
   -174.00    0.4794    0.0252
   -173.00    0.4612    0.0320
   -172.00    0.4342    0.0399
   -171.00    0.4124    0.0488
   -170.00    0.3999    0.0587
   -169.00    0.3964    0.0696
   -168.00    0.3998    0.0815
   -167.00    0.4082    0.0943
   -166.00    0.4200    0.1080
   -165.00    0.4339    0.1227
   -164.00    0.4492    0.1382
   -163.00    0.4652    0.1546
   -162.00    0.4815    0.1719
   -161.00    0.4978    0.1900
   -160.00    0.5138    0.2089
   -159.00    0.5293    0.2286
   -158.00    0.5443    0.2490
   -157.00    0.5586    0.2702
   -156.00    0.5722    0.2920
   -155.00    0.5849    0.3146
   -154.00    0.5968    0.3377
   -153.00    0.6078    0.3615
   -152.00    0.6179    0.3859
   -151.00    0.6270    0.4108
   -150.00    0.6352    0.4363
   -149.00    0.6424    0.4622
   -148.00    0.6487    0.4886
   -147.00    0.6540    0.5154
   -146.00    0.6584    0.5426
   -145.00    0.6618    0.5702
   -144.00    0.6642    0.5981
   -143.00    0.6657    0.6262
   -142.00    0.6663    0.6546
   -141.00    0.6659    0.6833
   -140.00    0.6646    0.7121
   -139.00    0.6625    0.7411
   -138.00    0.6595    0.7702
   -137.00    0.6556    0.7993
   -136.00    0.6509    0.8286
   -135.00    0.6453    0.8578
   -134.00    0.6390    0.8870
   -133.00    0.6319    0.9161
   -132.00    0.6240    0.9451
   -131.00    0.6154    0.9740
   -130.00    0.6060    1.0028
   -129.00    0.5960    1.0313
   -128.00    0.5853    1.0596
   -127.00    0.5740    1.0876
   -126.00    0.5621    1.1153
   -125.00    0.5495    1.1427
   -124.00    0.5364    1.1698
   -123.00    0.5228    1.1964
   -122.00    0.5086    1.2226
   -121.00    0.4939    1.2483
