AeroDyn airfoil file Created with QBlade v0.963 64bit on 05.04.2021 at 22:24:34 Compatible with AeroDyn v13.0.
Polar "E780-R81712-20-20 360 M" on Foil "E780-R81712-20-20" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
50.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-3.09          Angle of attack for zero Cn for linear Cn curve (deg)
8.11982        Cn slope for zero lift for linear Cn curve (1/rad)
-0.6502        Cn at stall value for positive angle of attack for linear Cn curve
-0.5797        Cn at stall value for negative angle of attack for linear Cn curve
-0.50          Angle of attack for minimum CD (deg)
0.0184         Minimum CD value
   -180.00   -0.0930    0.0060
   -179.00    0.0221    0.0065
   -178.00    0.1357    0.0081
   -177.00    0.2401    0.0107
   -176.00    0.3202    0.0144
   -175.00    0.3623    0.0191
   -174.00    0.3683    0.0249
   -173.00    0.3546    0.0317
   -172.00    0.3377    0.0394
   -171.00    0.3258    0.0482
   -170.00    0.3210    0.0580
   -169.00    0.3226    0.0687
   -168.00    0.3290    0.0804
   -167.00    0.3388    0.0931
   -166.00    0.3509    0.1067
   -165.00    0.3643    0.1212
   -164.00    0.3784    0.1366
   -163.00    0.3929    0.1528
   -162.00    0.4073    0.1699
   -161.00    0.4214    0.1879
   -160.00    0.4350    0.2066
   -159.00    0.4480    0.2261
   -158.00    0.4603    0.2464
   -157.00    0.4719    0.2674
   -156.00    0.4826    0.2891
   -155.00    0.4924    0.3115
   -154.00    0.5013    0.3345
   -153.00    0.5093    0.3582
   -152.00    0.5164    0.3824
   -151.00    0.5225    0.4072
   -150.00    0.5277    0.4325
   -149.00    0.5320    0.4583
   -148.00    0.5354    0.4846
   -147.00    0.5378    0.5113
   -146.00    0.5394    0.5385
   -145.00    0.5401    0.5659
   -144.00    0.5399    0.5937
   -143.00    0.5389    0.6219
   -142.00    0.5371    0.6502
   -141.00    0.5345    0.6788
   -140.00    0.5312    0.7076
   -139.00    0.5271    0.7366
   -138.00    0.5223    0.7657
   -137.00    0.5168    0.7948
   -136.00    0.5107    0.8240
   -135.00    0.5040    0.8533
   -134.00    0.4966    0.8825
   -133.00    0.4887    0.9117
   -132.00    0.4803    0.9407
   -131.00    0.4713    0.9697
   -130.00    0.4619    0.9985
   -129.00    0.4521    1.0271
   -128.00    0.4418    1.0555
   -127.00    0.4311    1.0836
   -126.00    0.4201    1.1114
   -125.00    0.4087    1.1389
   -124.00    0.3970    1.1660
   -123.00    0.3850    1.1928
   -122.00    0.3728    1.2191
   -121.00    0.3603    1.2449
   -120.00    0.3476    1.2703
   -119.00    0.3347    1.2952
   -118.00    0.3217    1.3195
   -117.00    0.3085    1.3432
   -116.00    0.2952    1.3663
   -115.00    0.2817    1.3888
