AeroDyn airfoil file Created with QBlade v0.963 64bit on 05.04.2021 at 22:24:34 Compatible with AeroDyn v13.0.
Polar "T1_Re0.050_M0.00_N9.0 360 M" on Foil "T1_Re0.050_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
11.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-1.58          Angle of attack for zero Cn for linear Cn curve (deg)
9.15944        Cn slope for zero lift for linear Cn curve (1/rad)
-0.5923        Cn at stall value for positive angle of attack for linear Cn curve
-0.6245        Cn at stall value for negative angle of attack for linear Cn curve
0.00           Angle of attack for minimum CD (deg)
0.0274         Minimum CD value
   -180.00   -0.0389    0.0060
   -179.00    0.0371    0.0065
   -178.00    0.1127    0.0081
   -177.00    0.1859    0.0107
   -176.00    0.2518    0.0144
   -175.00    0.3037    0.0191
   -174.00    0.3371    0.0249
   -173.00    0.3540    0.0317
   -172.00    0.3609    0.0394
   -171.00    0.3647    0.0482
   -170.00    0.3697    0.0580
   -169.00    0.3776    0.0687
   -168.00    0.3884    0.0804
   -167.00    0.4016    0.0931
   -166.00    0.4166    0.1067
   -165.00    0.4328    0.1212
   -164.00    0.4498    0.1366
   -163.00    0.4671    0.1528
   -162.00    0.4844    0.1699
   -161.00    0.5015    0.1879
   -160.00    0.5183    0.2066
   -159.00    0.5345    0.2261
   -158.00    0.5502    0.2464
   -157.00    0.5651    0.2674
   -156.00    0.5793    0.2891
   -155.00    0.5926    0.3115
   -154.00    0.6051    0.3345
   -153.00    0.6167    0.3582
   -152.00    0.6274    0.3824
   -151.00    0.6371    0.4072
   -150.00    0.6459    0.4325
   -149.00    0.6538    0.4583
   -148.00    0.6607    0.4846
   -147.00    0.6666    0.5113
   -146.00    0.6715    0.5384
   -145.00    0.6755    0.5659
   -144.00    0.6785    0.5937
   -143.00    0.6805    0.6219
   -142.00    0.6816    0.6502
   -141.00    0.6818    0.6788
   -140.00    0.6810    0.7076
   -139.00    0.6794    0.7366
   -138.00    0.6768    0.7657
   -137.00    0.6733    0.7948
   -136.00    0.6690    0.8240
   -135.00    0.6638    0.8533
   -134.00    0.6578    0.8825
   -133.00    0.6510    0.9117
   -132.00    0.6434    0.9407
   -131.00    0.6350    0.9697
   -130.00    0.6258    0.9985
   -129.00    0.6159    1.0271
   -128.00    0.6053    1.0555
   -127.00    0.5941    1.0836
   -126.00    0.5821    1.1114
   -125.00    0.5695    1.1389
   -124.00    0.5563    1.1660
   -123.00    0.5426    1.1927
   -122.00    0.5282    1.2191
   -121.00    0.5133    1.2449
   -120.00    0.4978    1.2703
   -119.00    0.4819    1.2951
   -118.00    0.4655    1.3194
   -117.00    0.4487    1.3432
   -116.00    0.4314    1.3663
   -115.00    0.4137    1.3888
   -114.00    0.3957    1.4106
   -113.00    0.3773    1.4318
   -112.00    0.3585    1.4522
   -111.00    0.3395    1.4719
   -110.00    0.3201    1.4909
   -109.00    0.2995    1.5091
   -108.00    0.2797    1.5265
   -107.00    0.2597    1.5430
   -106.00    0.2394    1.5587
   -105.00    0.2190    1.5736
   -104.00    0.1985    1.5876
   -103.00    0.1778    1.6007
   -102.00    0.1570    1.6129
   -101.00    0.1361    1.6241
   -100.00    0.1151    1.6344
    -99.00    0.0941    1.6438
    -98.00    0.0731    1.6522
    -97.00    0.0520    1.6597
    -96.00    0.0309    1.6662
    -95.00    0.0099    1.6717
    -94.00   -0.0110    1.6762
    -93.00   -0.0320    1.6797
    -92.00   -0.0528    1.6822
    -91.00   -0.0735    1.6837
